seq,#,Group,Group Label,Block,Block Label,Stage,Stage Label,Source,Status,Rows,Phase,Note,Description,Loop →,Bid: excavation,Work: excavation,Fallback: excavation,Bid: Last Minute: excavation,Bid: shoring,Work: shoring,Fallback: shoring,Bid: Last Minute: shoring,Bid: demolition,Work: demolition,Fallback: demolition,Bid: Last Minute: demolition,Bid: temporary-fencing,Work: temporary-fencing,Fallback: temporary-fencing,Bid: Last Minute: temporary-fencing,Bid: concrete,Work: concrete,Fallback: concrete,Bid: Last Minute: concrete,Bid: waterproofing,Work: waterproofing,Fallback: waterproofing,Bid: Last Minute: waterproofing,Bid: framing,Work: framing,Fallback: framing,Bid: Last Minute: framing,Bid: structural-steel,Work: structural-steel,Fallback: structural-steel,Bid: Last Minute: structural-steel,Bid: masonry,Work: masonry,Fallback: masonry,Bid: Last Minute: masonry,Bid: elevator,Work: elevator,Fallback: elevator,Bid: Last Minute: elevator,Bid: plumbing,Work: plumbing,Fallback: plumbing,Bid: Last Minute: plumbing,Bid: hvac,Work: hvac,Fallback: hvac,Bid: Last Minute: hvac,Bid: electrical,Work: electrical,Fallback: electrical,Bid: Last Minute: electrical,Bid: drain-plumbing,Work: drain-plumbing,Fallback: drain-plumbing,Bid: Last Minute: drain-plumbing,Bid: fire-protection,Work: fire-protection,Fallback: fire-protection,Bid: Last Minute: fire-protection,Bid: roofing,Work: roofing,Fallback: roofing,Bid: Last Minute: roofing,Bid: insulation,Work: insulation,Fallback: insulation,Bid: Last Minute: insulation,Bid: glazing,Work: glazing,Fallback: glazing,Bid: Last Minute: glazing,Bid: windows,Work: windows,Fallback: windows,Bid: Last Minute: windows,Bid: drywall,Work: drywall,Fallback: drywall,Bid: Last Minute: drywall,Bid: painting,Work: painting,Fallback: painting,Bid: Last Minute: painting,Bid: flooring,Work: flooring,Fallback: flooring,Bid: Last Minute: flooring,Bid: tiling,Work: tiling,Fallback: tiling,Bid: Last Minute: tiling,Bid: trim-work,Work: trim-work,Fallback: trim-work,Bid: Last Minute: trim-work,Bid: millwork-cabinetry,Work: millwork-cabinetry,Fallback: millwork-cabinetry,Bid: Last Minute: millwork-cabinetry,Bid: stone-countertops,Work: stone-countertops,Fallback: stone-countertops,Bid: Last Minute: stone-countertops,Bid: security,Work: security,Fallback: security,Bid: Last Minute: security,Bid: eavestrough-siding,Work: eavestrough-siding,Fallback: eavestrough-siding,Bid: Last Minute: eavestrough-siding,Bid: caulking,Work: caulking,Fallback: caulking,Bid: Last Minute: caulking,Bid: solar,Work: solar,Fallback: solar,Bid: Last Minute: solar,Bid: landscaping,Work: landscaping,Fallback: landscaping,Bid: Last Minute: landscaping,Bid: paving,Work: paving,Fallback: paving,Bid: Last Minute: paving,Bid: decking-fences,Work: decking-fences,Fallback: decking-fences,Bid: Last Minute: decking-fences,Bid: decks,Work: decks,Fallback: decks,Bid: Last Minute: decks,Bid: back-yard-fences,Work: back-yard-fences,Fallback: back-yard-fences,Bid: Last Minute: back-yard-fences,Bid: outdoor-patio,Work: outdoor-patio,Fallback: outdoor-patio,Bid: Last Minute: outdoor-patio,Bid: pool-installation,Work: pool-installation,Fallback: pool-installation,Bid: Last Minute: pool-installation,Bid: realtor,Work: realtor,Fallback: realtor,Bid: Last Minute: realtor,Group Color,Group Icon,Block Color,Block Icon,Stage Color,Stage Icon
11,80,C2,CoA Decision,B2.B,Approved,a,Approved,coa.status,Approved,246,P3,Variance OK,Committee approved the variance application as-filed,—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#EDE9FE,⚖️,#EDE9FE,⚖️,#DCFCE7,✅
12,81,C2,CoA Decision,B2.B,Approved,b,Approved + Conditions,coa.status,Approved with Conditions,554,P3,Variance OK + conditions,Committee approved variance subject to specific conditions,—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#EDE9FE,⚖️,#EDE9FE,⚖️,#DCFCE7,✅
13,82,C2,CoA Decision,B2.C,Refused / Binding,a,Refused,coa.status,Refused,59,P19,Denied,Committee denied the variance application,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#EDE9FE,⚖️,#EDE9FE,⚖️,#FECACA,❌
14,83,C2,CoA Decision,B2.C,Refused / Binding,b,Final & Binding,coa.status,Final and Binding,1,P4,Appeal cleared,Decision past 20-day appeal window; legally binding,(terminal),✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#EDE9FE,⚖️,#EDE9FE,⚖️,#DCFCE7,✅
15,84,C3,CoA Post-Decision,B3.A,Appeal Window,a,Awaiting Expiry,coa.status,Await Expiry Date,24,P3,20-day window,Decision rendered; waiting for 20-day Toronto appeal window,—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#FEF9C3,⏰,#FEF9C3,⏰,#FEF9C3,⏰
16,85,C3,CoA Post-Decision,B3.B,Appeal Initiated,a,Appealed,coa.status,Appealed,1,P3,Transient,Generic appeal flag; channel unspecified or routing pending,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FEF9C3,⏰,#FEF9C3,⏰,#FEF9C3,⏰
17,86,C3,CoA Post-Decision,B3.C,Active Appeals,a,TLAB Appeal,coa.status,TLAB Appeal,347,P3,4–9 months,Decision under appeal at Toronto Local Appeal Body,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FEF9C3,⏰,#FEF9C3,⏰,#FEF9C3,⏰
18,87,C3,CoA Post-Decision,B3.C,Active Appeals,b,OMB Appeal,coa.status,OMB Appeal,218,P3,1–3 years legacy,"Decision under appeal at Ontario Municipal Board (legacy, replaced by TLAB)",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FEF9C3,⏰,#FEF9C3,⏰,#FEF9C3,⏰
19,88,C4,CoA Closure,B4.A,Terminal,a,Withdrawn,coa.status,Application Withdrawn,904,P19,Pre-decision,Applicant withdrew the application before decision,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#E2E8F0,🏁,#FEE2E2,🗑️
20,89,C4,CoA Closure,B4.A,Terminal,b,Cancelled,coa.status,Cancelled,1,P19,Admin,Application cancelled (applicant request or administrative),(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#E2E8F0,🏁,#FEE2E2,🗑️
21,90,C4,CoA Closure,B4.A,Terminal,c,Complete,coa.status,Complete,8,P20,Done,All required follow-up actions done; file complete,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#E2E8F0,🏁,#E2E8F0,🏁
22,91,C4,CoA Closure,B4.A,Terminal,d,Closed,coa.status,Closed,"28,948",P20,87.6% land here,File administratively closed — default CoA terminal state,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#E2E8F0,🏁,#E2E8F0,🏁
23,1,BP1,Permit Intake,B1.A,Initial Submission,a,Request Received,permits.status,Request Received,1,P3,`INTAKE_P3_SET`,Sub-folder request opened against existing permit (revision/extension),—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#DBEAFE,📋,#DBEAFE,📋,#DBEAFE,📋
24,2,BP1,Permit Intake,B1.A,Initial Submission,b,Application Received,permits.status,Application Received,218,P3,`INTAKE_P3_SET`,"City def: ""The Application has been received but intake has not been accepted or processed""",—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#DBEAFE,📋,#DBEAFE,📋,#DBEAFE,📋
25,3,BP1,Permit Intake,B1.B,Submission Accepted,a,Application Acceptable,permits.status,Application Acceptable,465,P3,`INTAKE_P3_SET`,"City def: ""Submission requirement met; intake not yet accepted because initial fee outstanding""",—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#DBEAFE,📋,#DBEAFE,📋,#DBEAFE,📋
26,4,BP1,Permit Intake,B1.C,File Active,a,Open,permits.status,Open,519,P3,`INTAKE_P3_SET`,Generic IBMS state — file open in system,—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#DBEAFE,📋,#DBEAFE,📋,#DBEAFE,📋
27,5,BP1,Permit Intake,B1.C,File Active,b,Active,permits.status,Active,24,P3,`INTAKE_P3_SET`,Generic IBMS state — file being actively worked,—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#DBEAFE,📋,#DBEAFE,📋,#DBEAFE,📋
28,6,BP2,Plan Review,B2.A,Review Queued,a,Not Started,permits.status,Not Started,"1,063",P7d,**CODE DRIFT**,"City def: ""Application accepted but review has not started"" — pre-review (99.6% pre-issuance)",—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#E0E7FF,🔍,#E0E7FF,🔍,#E5E7EB,🐛
29,7,BP2,Plan Review,B2.A,Review Queued,b,Not Started - Express,permits.status,Not Started - Express,92,P7d,**CODE DRIFT**,Same as #6 but for Express stream (fast-track simple permits),—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#E0E7FF,🔍,#E0E7FF,🔍,#E5E7EB,🐛
30,8,BP2,Plan Review,B2.B,Review In Progress,a,Under Review,permits.status,Under Review,"2,100",P4,`REVIEW_P4_SET`,"City def: ""Application accepted and Review started but not completed""",—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#E0E7FF,🔍,#E0E7FF,🔍,#E0E7FF,🔍
31,9,BP2,Plan Review,B2.B,Review In Progress,b,Examination,permits.status,Examination,30,P4,`REVIEW_P4_SET`,Internal IBMS synonym for active Under Review,—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#E0E7FF,🔍,#E0E7FF,🔍,#E0E7FF,🔍
32,10,BP2,Plan Review,B2.C,Review Complete,a,Plan Review Complete,permits.status,Plan Review Complete,57,P3,**CODE DRIFT**,"All five discipline reviews finished; moving to Pre-Issuance (53% pre-/47% post-issuance, recurs on revisions)",—,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,#E0E7FF,🔍,#E0E7FF,🔍,#E5E7EB,🐛
